Date,Condition,mito_id,area_um2,copy_number,total_copies,bin
2025-05-25,Control,115,0.8509264375,1,47.007588714153684,1-4
2025-05-25,Control,115,0.8509264375,2,105.7670746068458,1-4
2025-05-25,Control,115,0.8509264375,3,74.03695222479206,1-4
2025-05-25,Control,115,0.8509264375,4,28.204553228492212,1-4
2025-05-25,Control,115,0.8509264375,5,11.751897178538421,5-8
2025-05-25,Control,115,0.8509264375,7,8.226328024976896,5-8
2025-05-25,Control,115,0.8509264375,11,12.927086896392264,9-12
2025-05-25,Control,115,0.8509264375,16,18.803035485661475,13-24
2025-05-25,Control,116,1.1190829375,1,46.46661856552522,1-4
2025-05-25,Control,116,1.1190829375,2,121.5280793252198,1-4
2025-05-25,Control,116,1.1190829375,3,75.0614607596946,1-4
2025-05-25,Control,116,1.1190829375,4,50.04097383979639,1-4
2025-05-25,Control,116,1.1190829375,5,22.339720464194816,5-8
2025-05-25,Control,116,1.1190829375,6,32.169197468440544,5-8
2025-05-25,Control,116,1.1190829375,7,6.255121729974549,5-8
2025-05-25,Control,116,1.1190829375,9,8.042299367110134,9-12
2025-05-25,Control,117,0.7286094375,1,97.44589672570636,1-4
2025-05-25,Control,117,0.7286094375,2,120.778012843129,1-4
2025-05-25,Control,117,0.7286094375,3,74.11378060828372,1-4
2025-05-25,Control,117,0.7286094375,4,38.42936772281378,1-4
2025-05-25,Control,117,0.7286094375,5,34.31193546679801,5-8
2025-05-25,Control,117,0.7286094375,6,24.70459353609457,5-8
2025-05-25,Control,117,0.7286094375,7,19.21468386140689,5-8
2025-05-25,Control,117,0.7286094375,8,10.979819349375365,5-8
2025-05-25,Control,118,0.53396075,1,58.056701733226646,1-4
2025-05-25,Control,118,0.53396075,2,93.63984150520427,1-4
2025-05-25,Control,118,0.53396075,3,78.6574668643716,1-4
2025-05-25,Control,118,0.53396075,4,37.45593660208171,1-4
2025-05-25,Control,118,0.53396075,5,9.363984150520427,5-8
2025-05-25,Control,118,0.53396075,9,16.855171470936767,9-12
2025-05-25,Control,119,0.8509264375,1,58.759485892692105,1-4
2025-05-25,Control,119,0.8509264375,2,89.31441855689201,1-4
2025-05-25,Control,119,0.8509264375,3,49.35796814986138,1-4
2025-05-25,Control,119,0.8509264375,4,89.31441855689201,1-4
2025-05-25,Control,119,0.8509264375,5,11.751897178538421,5-8
2025-05-25,Control,119,0.8509264375,6,14.102276614246106,5-8
2025-05-25,Control,119,0.8509264375,7,8.226328024976896,5-8
2025-05-25,Control,119,0.8509264375,9,21.15341492136916,9-12
2025-05-25,Control,120,0.5627758125,1,40.86884952966951,1-4
2025-05-25,Control,120,0.5627758125,2,99.50676407223881,1-4
2025-05-25,Control,120,0.5627758125,3,53.30719503869936,1-4
2025-05-25,Control,120,0.5627758125,4,42.64575603095949,1-4
2025-05-25,Control,120,0.5627758125,5,26.65359751934968,5-8
2025-05-25,Control,120,0.5627758125,6,21.322878015479745,5-8
2025-05-25,Control,120,0.5627758125,7,12.438345509029851,5-8
2025-05-25,Control,120,0.5627758125,14,24.876691018059702,13-24
2025-05-25,Control,121,1.0837991875,1,92.26801528673411,1-4
2025-05-25,Control,121,1.0837991875,2,201.14427332508035,1-4
2025-05-25,Control,121,1.0837991875,3,132.8659420128971,1-4
2025-05-25,Control,121,1.0837991875,4,73.81441222938729,1-4
2025-05-25,Control,121,1.0837991875,5,46.134007643367056,5-8
2025-05-25,Control,121,1.0837991875,6,16.60824275161214,5-8
2025-05-25,Control,121,1.0837991875,9,8.30412137580607,9-12
2025-05-25,Control,122,0.51514275,1,64.05991348999865,1-4
2025-05-25,Control,122,0.51514275,2,139.76708397817887,1-4
2025-05-25,Control,122,0.51514275,3,81.53079898727101,1-4
2025-05-25,Control,122,0.51514275,4,77.64837998787715,1-4
2025-05-25,Control,122,0.51514275,5,19.412094996969287,5-8
2025-05-25,Control,122,0.51514275,7,13.588466497878501,5-8
2025-05-25,Control,122,0.51514275,9,17.47088549727236,9-12
2025-05-25,Control,122,0.51514275,11,21.353304496666215,9-12
2025-05-25,Control,123,0.9409,1,59.517483260707834,1-4
2025-05-25,Control,123,0.9409,2,95.65309809756616,1-4
2025-05-25,Control,123,0.9409,3,76.52247847805293,1-4
2025-05-25,Control,123,0.9409,4,38.261239239026466,1-4
2025-05-25,Control,123,0.9409,5,42.512488043362744,5-8
2025-05-25,Control,123,0.9409,6,6.376873206504412,5-8
2025-05-25,Control,124,0.4510439375,1,39.90742032753738,1-4
2025-05-25,Control,124,0.4510439375,2,53.209893770049845,1-4
2025-05-25,Control,124,0.4510439375,3,39.90742032753738,1-4
2025-05-25,Control,124,0.4510439375,4,35.473262513366564,1-4
2025-05-25,Control,124,0.4510439375,5,22.170789070854102,5-8
2025-05-25,Control,124,0.4510439375,6,13.302473442512461,5-8
2025-05-25,Control,124,0.4510439375,9,19.95371016376869,9-12
2025-05-25,Control,124,0.4510439375,12,26.604946885024923,9-12
2025-05-25,Control,125,1.2543373125,1,65.37316492368954,1-4
2025-05-25,Control,125,1.2543373125,2,170.60801577645807,1-4
2025-05-25,Control,125,1.2543373125,3,93.27634507404483,1-4
2025-05-25,Control,125,1.2543373125,4,47.834023114894784,1-4
2025-05-25,Control,125,1.2543373125,5,19.930842964539494,5-8
2025-05-25,Control,125,1.2543373125,6,19.133609245957913,5-8
2025-05-25,Control,125,1.2543373125,7,11.161272060142117,5-8
2025-05-25,Control,125,1.2543373125,9,7.1751034672342175,9-12
2025-05-25,Control,126,1.3660691875,1,79.05895322743308,1-4
2025-05-25,Control,126,1.3660691875,2,147.86952362908778,1-4
2025-05-25,Control,126,1.3660691875,3,105.41193763657742,1-4
2025-05-25,Control,126,1.3660691875,4,58.56218757587635,1-4
2025-05-25,Control,126,1.3660691875,5,21.96082034095363,5-8
2025-05-25,Control,126,1.3660691875,6,13.176492204572178,5-8
2025-05-25,Control,126,1.3660691875,7,10.248382825778362,5-8
2025-05-25,Control,127,0.9955898125,1,93.41196427720578,1-4
2025-05-25,Control,127,0.9955898125,2,158.69989629890875,1-4
2025-05-25,Control,127,0.9955898125,3,78.34551842604355,1-4
2025-05-25,Control,127,0.9955898125,4,88.38981566015171,1-4
2025-05-25,Control,127,0.9955898125,5,30.132891702324443,5-8
2025-05-25,Control,127,0.9955898125,6,18.07973502139467,5-8
