Condition,Dish,Cell,Mito_ID,ER_sa,ERMCS20_sa,ER_den,ERMCS_den,Total_Ribosomes,Ribo_den,hull_diameter,bounding_thickness
Control,1,2,1,1.2770192511455691,0.1436434481335057,4.71251518693658,0.1124833850426673,23.445919289352123,8.816784033287972,2.6567068624306183,0.10200020484626292
Control,1,2,2,1.2770192511455691,0.20483466111652693,5.414401457649711,0.16040060549813712,NA,NA,2.312309409335435,0.10200020484626292
Control,1,2,3,0.4534391685920979,0.1314871792430414,1.7762807250357666,0.28997755013379506,5.056191109058137,1.8222369794582958,2.7747165522681976,0.0920002069324255
Control,1,2,4,0.24983469672241937,0.05487541839857167,0.9601658018363539,0.21964690700884273,36.621071121686754,14.074255418578797,2.6019899477840163,0.10000020824372768
Control,1,3,5,0.8584666221739619,0.10203703216402488,2.3259549249522804,0.11885963825317816,NA,NA,3.690798760999439,0.10000040382146835
TTX,1,9,1,0.29358773472688077,0.06302200708186763,1.0996568958155382,0.21466158026150456,NA,NA,2.472044007128483,0.10800018720328808
TTX,1,9,2,0.5038464660582888,0.21558850402357077,1.917064140112967,0.4278853153623784,221.58281923904536,89.36782473833155,2.479447383751798,0.10600019805133344
TTX,1,9,3,0.7708333316548113,0.23140822249411028,2.522005362150222,0.3002052622676905,99.01701850005145,32.39636395774667,3.0564238205619474,0.10000020824372768
TTX,1,9,4,3.1045344637615804,0.6216465210097822,5.495975586513133,0.20023824127775022,128.87456581780268,46.085820262435554,2.7964038631389627,0.20200019888579843
TTX,1,9,5,1.0300681107930072,0.20719600584759415,3.936775237391113,0.20114786942397667,NA,NA,2.616522162509495,0.10000020824372768
TTX,1,9,6,0.5133947119902577,0.2287040718047578,1.8494575062570502,0.4454741477919581,81.43255254249769,29.33539354100229,2.775914781190129,0.10000020824372768
TTX,1,9,7,0.4614256980984656,0.08218082062620832,1.8068941793135078,0.1781019587007731,81.43255254249769,29.337141346540406,2.7757494017766886,0.0920002069324255
TTX,1,9,8,0.6118117607203365,0.23616815777928857,2.777757359971592,0.3860144131607217,19.148478460745363,7.993257037424104,2.394058232687136,0.0920002069324255
TTX,1,9,9,0.48698600251299384,0.16855136941362875,1.7684259301136085,0.34611132259213434,NA,NA,2.458729581646181,0.11200021021068096
