Condition,Mito_ID,ribo_cluster_id,surface_dist
Control,1,1,28.88587309
Control,1,2,4.049561448
Control,3,1,144.4625614
Control,3,2,9.041578583
Control,3,3,135.9304424
Control,4,1,515.3837889
Control,4,2,94.73472893
Control,4,3,280.2612354
Control,4,4,245.7424769
Control,4,5,68.21399046
Control,4,6,73.63152024
Control,4,7,0.055291142
Control,4,8,111.9129356
TTX,2,1,133.6743152
TTX,2,2,238.4023662
TTX,2,3,1.708215802
TTX,2,4,28.62265908
TTX,2,5,0.500676361
TTX,2,6,0.282296291
TTX,2,7,2.32254986
TTX,2,8,24.52819115
TTX,2,9,345.1458839
TTX,2,10,0.44729488
TTX,2,11,251.4893792
TTX,2,12,207.9066747
TTX,2,13,0.428579247
TTX,2,14,2.692051756
TTX,2,15,337.1763757
TTX,2,16,360.0352885
TTX,2,17,491.8645615
TTX,2,18,173.8850866
TTX,2,19,249.1252151
TTX,2,20,21.20662096
TTX,2,21,3.134442239
TTX,2,22,0.178267319
TTX,4,1,14.16573164
TTX,4,2,15.18224188
TTX,4,3,0.338413637
TTX,4,4,0.546195124
TTX,4,5,4.746562721
TTX,4,6,0.101435432
TTX,4,7,0.748309793
TTX,4,8,0.695578096
TTX,4,9,4.072380867
TTX,4,10,10.51307155
TTX,4,11,0.141942955
TTX,4,12,3.040810939
TTX,4,13,33.81196261
TTX,4,14,69.61985028
TTX,4,15,3.250809095
TTX,4,16,0.082202574
TTX,4,17,0.172361927
TTX,4,18,21.5902622
TTX,4,19,3.2731935
TTX,4,20,29.0598142
TTX,4,21,22.28705259
TTX,4,22,53.58008825
TTX,4,23,7.507722617
TTX,4,24,89.39565845
TTX,8,1,28.25040969
TTX,8,2,15.62828801
TTX,8,3,0.166775801
TTX,8,4,0.380536559
TTX,8,5,37.49504102
TTX,8,6,53.43051917
TTX,3,1,3.06717219
TTX,3,2,514.8582709
TTX,3,3,431.5454482
TTX,3,4,0.378476126
TTX,3,5,138.2283583
TTX,3,6,104.9443592
TTX,3,7,580.9838246
TTX,3,8,0.124094532
TTX,3,9,22.87757873
TTX,3,10,4.46149726
TTX,3,11,5.28167497
TTX,3,12,12.60281149
TTX,3,13,14.4080541
TTX,3,14,6.556383248
TTX,3,15,509.2622279
TTX,3,16,376.6053804
TTX,6,1,1.721006965
TTX,6,2,0.307110877
TTX,6,3,52.17164631
TTX,6,4,0.31802131
TTX,6,5,81.28725217
TTX,7,1,1.721006965
TTX,7,2,0.307110877
TTX,7,3,52.17164631
TTX,7,4,0.31802131
TTX,7,5,81.28725217
