Condition,Date,Cell,L,F,LbyF
Control,2025-07-07,2,39.266,509.562,0.07705833637516141
Control,2025-07-07,2,52.919,642.514,0.08236240766738157
Control,2025-07-07,1,102.061,765.682,0.13329423964517909
Control,2025-07-07,1,46.429,554.302,0.08376119876890215
Control,2025-07-07,1,51.91,707.164,0.07340588604623538
Control,2025-07-07,3,59.333,1104.183,0.053734752301022565
Control,2025-07-07,3,33.7,546.22,0.06169675222437846
Control,2025-07-07,3,35.197,616.47,0.05709442470842053
Control,2025-07-07,3,25.453,594.34,0.04282565534879025
Control,2025-07-07,3,28.017,639.138,0.04383560357856988
Control,2025-07-07,3,28,518.161,0.05403725868986667
Control,2025-07-07,3,24.449,623.082,0.039238816078782573
Control,2025-07-07,4,33.672,770.094,0.04372453232981947
Control,2025-07-07,4,96.452,2571.613,0.03750642106724457
Control,2025-07-07,4,48.911,1699.589,0.02877813400769245
Control,2025-07-07,4,38.833,970.533,0.04001203462427346
Control,2025-07-07,4,40.137,845.658,0.04746244935896071
Control,2025-07-07,4,45.059,1638.765,0.027495705607576432
Control,2025-07-07,4,40.385,1812.154,0.0222856335609446
Control,2025-07-07,5,48.507,646.224,0.07506220753175369
Control,2025-07-07,5,63.25,885.153,0.07145657304443412
Control,2025-07-07,5,48.984,650.641,0.07528575666150766
Control,2025-07-07,5,105.508,1427.78,0.07389653868243007
Control,2025-07-07,5,71.422,1358.094,0.05258987964014272
Control,2025-07-07,5,47.216,993.745,0.04751319503494357
Control,2025-07-07,5,57.743,698.3,0.08269082056422741
Control,2025-07-07,5,71.716,1259.657,0.05693295873400457
Control,2025-07-07,5,59.978,1329.111,0.04512640403999365
Control,2025-07-07,5,34.742,595.167,0.058373532134678156
Control,2025-07-07,5,37.393,598.143,0.06251515105919488
Control,2025-07-07,6,85.492,952.615,0.08974454527799794
Control,2025-07-07,6,80.756,875.222,0.09226916142418724
Control,2025-07-07,6,42.564,529.709,0.08035355261096187
Control,2025-07-07,6,69.554,937.6,0.0741830204778157
Control,2025-07-07,6,38.203,610.971,0.062528336042136215
Control,2025-07-07,6,55.797,644.949,0.08651381737160613
Control,2025-07-07,6,105.889,1217.944,0.08694077888638559
Control,2025-07-07,6,58.492,836.317,0.06993998687100704
Control,2025-07-07,7,63.877,1152.263,0.05543612873102756
Control,2025-07-07,7,43.871,868.306,0.05052481498457917
Control,2025-07-07,7,44.984,796.918,0.05644746385449946
Control,2025-07-07,7,35.938,826.719,0.043470635125115065
Control,2025-07-07,7,52,1286.656,0.040414842817349785
Control,2025-07-07,7,70.639,1538.722,0.04590757784707049
Control,2025-07-07,7,59.719,1156.109,0.051655164002702175
Control,2025-07-07,7,40.688,945.859,0.04301698244664374
Control,2025-07-07,7,58.695,1444.034,0.04064654987347943
