Date,Condition,Cell,Peak_Amp
2025-03-17,Control,1,-13.80697
2025-03-17,Control,1,-8.43846
2025-03-17,Control,1,-17.79877
2025-03-17,Control,1,-10.79863
2025-03-17,Control,1,-6.91351
2025-03-17,Control,1,-10.49826
2025-03-17,Control,1,-14.37803
2025-03-17,Control,1,-9.33279
2025-03-17,Control,1,-6.05141
2025-03-17,Control,1,-7.30206
2025-03-17,Control,1,-8.2586
2025-03-17,Control,1,-17.45942
2025-03-17,Control,1,-6.84524
2025-03-17,Control,1,-8.4549
2025-03-17,Control,1,-12.84617
2025-03-17,Control,1,-10.85895
2025-03-17,Control,1,-7.98347
2025-03-17,Control,1,-9.49684
2025-03-17,Control,1,-11.0924
2025-03-17,Control,1,-15.19798
2025-03-17,Control,1,-5.0555
2025-03-17,Control,1,-17.51982
2025-03-17,Control,1,-5.09404
2025-03-17,Control,1,-5.92336
2025-03-17,Control,1,-16.58867
2025-03-17,Control,1,-14.20146
2025-03-17,Control,1,-6.50301
2025-03-17,Control,1,-8.4628
2025-03-17,Control,1,-9.00002
2025-03-17,Control,1,-17.74128
2025-03-17,Control,1,-9.18032
2025-03-17,Control,1,-28.27761
2025-03-17,Control,1,-19.44953
2025-03-17,Control,1,-8.98876
2025-03-17,Control,1,-7.32809
2025-03-17,Control,1,-5.16525
2025-03-17,Control,1,-7.65373
2025-03-17,Control,1,-6.02288
2025-03-17,Control,1,-24.94033
2025-03-17,Control,1,-5.48749
2025-03-17,Control,1,-10.64428
2025-03-17,Control,1,-17.11324
2025-03-17,Control,1,-8.54209
2025-03-17,Control,1,-12.59469
2025-03-17,Control,1,-9.45459
2025-03-17,Control,1,-10.50928
2025-03-17,Control,1,-16.069210000000002
2025-03-17,Control,1,-5.45795
2025-03-17,Control,1,-8.29208
2025-03-17,Control,1,-6.7862
2025-03-17,Control,1,-8.50536
2025-03-17,Control,1,-28.6274
2025-03-17,Control,1,-8.99885
2025-03-17,Control,1,-11.78728
2025-03-17,Control,1,-9.16064
2025-03-17,Control,1,-6.79652
2025-03-17,Control,1,-10.07065
2025-03-17,Control,1,-5.91379
2025-03-17,Control,1,-12.31206
2025-03-17,Control,1,-8.04764
2025-03-17,Control,1,-6.74177
2025-03-17,Control,1,-9.95081
2025-03-17,Control,1,-8.27567
2025-03-17,Control,1,-9.07282
2025-03-17,Control,1,-7.85402
2025-03-17,Control,1,-13.38206
2025-03-17,Control,1,-7.76059
2025-03-17,Control,1,-17.27139
2025-03-17,Control,1,-6.97907
2025-03-17,Control,1,-6.43798
2025-03-17,Control,1,-6.35476
2025-03-17,Control,1,-7.60314
2025-03-17,Control,1,-5.94665
2025-03-17,Control,1,-29.4522
2025-03-17,Control,1,-6.16495
2025-03-17,Control,1,-5.31083
2025-03-17,Control,1,-7.36165
2025-03-17,Control,1,-6.64779
2025-03-17,Control,1,-6.98177
2025-03-17,Control,1,-14.97979
2025-03-17,Control,1,-7.56515
2025-03-17,Control,1,-6.95313
2025-03-17,Control,1,-10.92546
2025-03-17,Control,1,-21.58025
2025-03-17,Control,1,-6.35383
2025-03-17,Control,1,-11.35035
2025-03-17,Control,1,-6.7622
2025-03-17,Control,1,-10.04617
2025-03-17,Control,1,-9.40264
2025-03-17,Control,1,-19.2177
2025-03-17,Control,1,-5.90154
2025-03-17,Control,1,-18.42001
2025-03-17,Control,1,-10.57499
2025-03-17,Control,1,-12.87432
2025-03-17,Control,1,-8.17745
2025-03-17,Control,1,-6.74374
2025-03-17,Control,1,-6.33337
2025-03-17,Control,1,-9.917
2025-03-17,Control,1,-8.7373
2025-03-17,Control,1,-7.84673
2025-03-17,Control,1,-8.2716
2025-03-17,Control,1,-5.73706
2025-03-17,Control,1,-10.88385
2025-03-17,Control,1,-7.10877
2025-03-17,Control,1,-10.56413
2025-03-17,Control,1,-7.91647
2025-03-17,Control,1,-21.69182
2025-03-17,Control,1,-7.09758
2025-03-17,Control,1,-9.24555
2025-03-17,Control,1,-7.96983
2025-03-17,Control,1,-8.10191
2025-03-17,Control,1,-7.36881
2025-03-17,Control,1,-6.48484
2025-03-17,Control,1,-6.83114
2025-03-17,Control,1,-5.13437
2025-03-17,Control,1,-5.76229
2025-03-17,Control,1,-26.81063
2025-03-17,Control,1,-15.39722
2025-03-17,Control,1,-7.05394
2025-03-17,Control,1,-12.01043
2025-03-17,Control,1,-12.90837
2025-03-17,Control,1,-7.23969
2025-03-17,Control,1,-8.49173
2025-03-17,Control,1,-8.5845
2025-03-17,Control,1,-11.50953
2025-03-17,Control,1,-7.63649
2025-03-17,Control,1,-9.78618
2025-03-17,Control,1,-8.17089
2025-03-17,Control,1,-6.3752
2025-03-17,Control,1,-7.00828
2025-03-17,Control,1,-8.93256
2025-03-17,Control,1,-13.04768
2025-03-17,Control,1,-7.41381
2025-03-17,Control,1,-10.396
2025-03-17,Control,1,-9.52229
2025-03-17,Control,1,-12.83117
2025-03-17,Control,1,-22.65451
2025-03-17,Control,1,-10.42011
2025-03-17,Control,1,-9.52723
2025-03-17,Control,1,-11.9578
2025-03-17,Control,1,-13.09095
2025-03-17,Control,1,-9.15123
2025-03-17,Control,1,-8.1666
2025-03-17,Control,1,-5.73703
2025-03-17,Control,1,-6.47719
2025-03-17,Control,1,-9.94984
2025-03-17,Control,1,-10.34866
2025-03-17,Control,1,-6.10709
2025-03-17,Control,1,-20.68468
2025-03-17,Control,1,-12.13823
2025-03-17,Control,1,-15.92336
2025-03-17,Control,1,-41.70718
2025-03-17,Control,1,-8.49675
2025-03-17,Control,1,-12.64811
2025-03-17,Control,1,-10.30418
2025-03-17,Control,1,-7.14372
2025-03-17,Control,1,-10.76481
2025-03-17,Control,1,-13.60954
2025-03-17,Control,1,-5.54857
2025-03-17,Control,1,-6.64517
2025-03-17,Control,1,-23.26836
2025-03-17,Control,1,-5.77376
2025-03-17,Control,1,-7.11654
2025-03-17,Control,1,-8.89353
2025-03-17,Control,1,-8.73575
2025-03-17,Control,1,-11.33313
2025-03-17,Control,1,-11.78757
2025-03-17,Control,1,-8.02769
2025-03-17,Control,1,-6.71049
2025-03-17,Control,1,-6.11618
2025-03-17,Control,1,-5.364
2025-03-17,Control,1,-6.17139
2025-03-17,Control,1,-5.8218
2025-03-17,Control,1,-16.91752
2025-03-17,Control,1,-5.40104
2025-03-17,Control,1,-13.49151
2025-03-17,Control,1,-6.28253
2025-03-17,Control,1,-6.72877
2025-03-17,Control,1,-6.02208
2025-03-17,Control,1,-5.85633
2025-03-17,Control,1,-24.37569
2025-03-17,Control,1,-7.67221
2025-03-17,Control,1,-9.90745
2025-03-17,Control,1,-6.88063
2025-03-17,Control,1,-5.35576
2025-03-17,Control,1,-5.24068
2025-03-17,Control,1,-6.72552
2025-03-17,Control,1,-7.53155
2025-03-17,Control,1,-9.44427
2025-03-17,Control,1,-7.56349
2025-03-17,Control,1,-15.79138
2025-03-17,Control,1,-6.25613
2025-03-17,Control,1,-7.469
2025-03-17,Control,1,-7.13438
2025-03-17,Control,1,-5.63205
2025-03-17,Control,1,-9.17123
2025-03-17,Control,1,-5.87447
2025-03-17,Control,1,-11.26716
2025-03-17,Control,1,-12.89913
2025-03-17,Control,1,-5.42194
2025-03-17,Control,1,-7.07136
2025-03-17,Control,1,-6.51754
2025-03-17,Control,1,-6.96398
2025-03-17,Control,1,-7.66746
2025-03-17,Control,1,-6.24602
2025-03-17,Control,1,-5.664
2025-03-17,Control,1,-9.21502
2025-03-17,Control,1,-7.48637
2025-03-17,Control,1,-6.45719
2025-03-17,Control,1,-34.5918
2025-03-17,Control,1,-13.67347
2025-03-17,Control,1,-7.5163
2025-03-17,Control,1,-14.61785
2025-03-17,Control,1,-8.04652
2025-03-17,Control,1,-8.93988
2025-03-17,Control,1,-6.72493
2025-03-17,Control,1,-8.95593
2025-03-17,Control,1,-11.12552
2025-03-17,Control,1,-12.74504
2025-03-17,Control,1,-11.07446
2025-03-17,Control,1,-6.84054
2025-03-17,Control,1,-7.54301
2025-03-17,Control,1,-7.76539
2025-03-17,Control,1,-21.589
2025-03-17,Control,1,-10.1094
2025-03-17,Control,1,-13.66939
2025-03-17,Control,1,-11.14928
2025-03-17,Control,1,-7.04596
2025-03-17,Control,1,-9.9791
2025-03-17,Control,1,-10.49279
2025-03-17,Control,1,-8.33247
2025-03-17,Control,1,-9.60829
2025-03-17,Control,1,-5.3783
2025-03-17,Control,1,-8.25323
2025-03-17,Control,1,-6.33586
2025-03-17,Control,1,-8.11388
2025-03-17,Control,1,-5.61925
2025-03-17,Control,1,-22.82349
2025-03-17,Control,1,-7.10972
2025-03-17,Control,1,-8.04854
2025-03-17,Control,1,-8.59745
2025-03-17,Control,1,-8.25392
2025-03-17,Control,1,-5.96461
2025-03-17,Control,1,-8.0609
2025-03-17,Control,1,-11.44187
2025-03-17,Control,1,-9.27918
2025-03-17,Control,1,-29.90605
2025-03-17,Control,1,-10.97773
2025-03-17,Control,1,-6.93439
2025-03-17,Control,1,-6.3968
2025-03-17,Control,1,-19.80108
2025-03-17,Control,1,-13.34311
2025-03-17,Control,1,-6.76206
2025-03-17,Control,1,-7.76953
2025-03-17,Control,1,-6.86908
2025-03-17,Control,1,-6.85435
2025-03-17,Control,1,-6.76565
2025-03-17,Control,1,-5.81481
2025-03-17,Control,1,-6.72544
2025-03-17,Control,1,-7.33851
2025-03-17,Control,1,-16.76776
2025-03-17,Control,1,-5.88456
2025-03-17,Control,1,-6.15224
2025-03-17,Control,1,-13.65981
2025-03-17,Control,1,-12.66924
2025-03-17,Control,1,-5.92522
2025-03-17,Control,1,-13.11057
2025-03-17,Control,1,-5.58394
2025-03-17,Control,1,-5.02846
2025-03-17,Control,1,-6.32024
2025-03-17,Control,1,-5.59835
2025-03-17,Control,1,-8.14104
2025-03-17,Control,1,-6.2137
2025-03-17,Control,1,-5.69909
2025-03-17,Control,1,-9.16931
2025-03-17,Control,1,-9.22806
2025-03-17,Control,1,-6.75328
2025-03-17,Control,1,-8.16983
2025-03-17,Control,1,-8.17681
2025-03-17,Control,1,-13.0706
2025-03-17,Control,1,-14.86075
2025-03-17,Control,1,-7.28788
2025-03-17,Control,1,-12.45114
2025-03-17,Control,1,-6.71393
2025-03-17,Control,1,-12.72129
2025-03-17,Control,1,-14.12764
2025-03-17,Control,1,-22.73628
2025-03-17,Control,1,-6.62453
2025-03-17,Control,1,-6.54646
2025-03-17,Control,1,-17.42933
2025-03-17,Control,1,-16.64359
2025-03-17,Control,1,-7.24646
2025-03-17,Control,1,-10.51065
2025-03-17,Control,1,-7.41042
2025-03-17,Control,1,-17.16419
2025-03-17,Control,1,-8.11531
2025-03-17,Control,1,-11.69383
2025-03-17,Control,1,-5.44749
2025-03-17,Control,1,-6.97662
2025-03-17,Control,1,-5.74908
2025-03-17,Control,1,-13.56187
2025-03-17,Control,1,-7.42247
2025-03-17,Control,1,-9.92465
2025-03-17,Control,1,-5.10397
2025-03-17,Control,1,-13.28383
2025-03-17,Control,1,-9.03997
2025-03-17,Control,1,-5.7132
2025-03-17,Control,1,-28.67514
2025-03-17,Control,1,-8.38008
2025-03-17,Control,1,-5.93012
2025-03-17,Control,1,-11.04032
2025-03-17,Control,1,-23.76617
2025-03-17,Control,1,-6.58275
2025-03-17,Control,1,-12.23244
2025-03-17,Control,1,-9.57918
2025-03-17,Control,1,-6.735
2025-03-17,Control,1,-7.55619
2025-03-17,Control,1,-11.32061
2025-03-17,Control,1,-6.68174
2025-03-17,Control,1,-10.49374
2025-03-17,Control,1,-6.87378
2025-03-17,Control,1,-11.62737
2025-03-17,Control,1,-6.69058
2025-03-17,Control,1,-5.97068
2025-03-17,Control,1,-8.89886
2025-03-17,Control,1,-7.90989
2025-03-17,Control,1,-10.43217
2025-03-17,Control,1,-11.79253
2025-03-17,Control,1,-6.48129
2025-03-17,Control,1,-13.32559
2025-03-17,Control,1,-10.52076
2025-03-17,Control,1,-5.29669
2025-03-17,Control,1,-9.46064
2025-03-17,Control,1,-8.40316
2025-03-17,Control,1,-26.32326
2025-03-17,Control,1,-12.7659
2025-03-17,Control,1,-5.44959
2025-03-17,Control,1,-10.2461
2025-03-17,Control,1,-12.26477
2025-03-17,Control,1,-23.44354
2025-03-17,Control,1,-6.48516
2025-03-17,Control,1,-11.51272
2025-03-17,Control,1,-7.23856
2025-03-17,Control,1,-15.46142
2025-03-17,Control,1,-5.61702
2025-03-17,Control,1,-5.72179
2025-03-17,Control,1,-6.30058
2025-03-17,Control,1,-41.12342
2025-03-17,Control,1,-10.46856
2025-03-17,Control,1,-10.85454
2025-03-17,Control,1,-5.5560600000000004
2025-03-17,Control,1,-11.65753
2025-03-17,Control,1,-12.96694
2025-03-17,Control,1,-15.2616
2025-03-17,Control,1,-5.25749
2025-03-17,Control,1,-7.72246
2025-03-17,Control,1,-12.79316
2025-03-17,Control,1,-7.58907
2025-03-17,Control,1,-5.52263
2025-03-17,Control,1,-8.6728
2025-03-17,Control,1,-9.25293
2025-03-17,Control,1,-5.73226
2025-03-17,Control,1,-21.94602
2025-03-17,Control,1,-6.11836
2025-03-17,Control,1,-6.67198
2025-03-17,Control,1,-8.00597
2025-03-17,Control,1,-14.39192
2025-03-17,Control,2,-5.78715
2025-03-17,Control,2,-5.28958
2025-03-17,Control,2,-9.51891
2025-03-17,Control,2,-10.74634
2025-03-17,Control,2,-11.7584
2025-03-17,Control,2,-7.83323
2025-03-17,Control,2,-5.55272
2025-03-17,Control,2,-12.17036
2025-03-17,Control,2,-12.15855
2025-03-17,Control,2,-12.85223
2025-03-17,Control,2,-7.66807
2025-03-17,Control,2,-8.66134
2025-03-17,Control,2,-7.78939
2025-03-17,Control,2,-10.61457
2025-03-17,Control,2,-15.77362
2025-03-17,Control,2,-9.99617
2025-03-17,Control,2,-7.9624
2025-03-17,Control,2,-9.46627
2025-03-17,Control,2,-19.2599
2025-03-17,Control,2,-7.86129
2025-03-17,Control,2,-6.53126
2025-03-17,Control,2,-6.29918
2025-03-17,Control,2,-5.13914
2025-03-17,Control,2,-15.42673
2025-03-17,Control,2,-9.89263
2025-03-17,Control,2,-6.64313
2025-03-17,Control,2,-5.94741
2025-03-17,Control,2,-6.83182
2025-03-17,Control,2,-5.9404
2025-03-17,Control,2,-8.8486
2025-03-17,Control,2,-6.00187
2025-03-17,Control,2,-8.90539
2025-03-17,Control,2,-6.26605
2025-03-17,Control,2,-6.51653
2025-03-17,Control,2,-8.24823
2025-03-17,Control,2,-5.72907
2025-03-17,Control,2,-10.49143
2025-03-17,Control,2,-7.16873
2025-03-17,Control,2,-10.36972
2025-03-17,Control,2,-5.71206
2025-03-17,Control,2,-12.09608
2025-03-17,Control,2,-10.44027
2025-03-17,Control,2,-14.1741
2025-03-17,Control,2,-5.29365
2025-03-17,Control,2,-8.50057
2025-03-17,Control,2,-5.9729
2025-03-17,Control,2,-9.8496
2025-03-17,Control,2,-7.9031
2025-03-17,Control,2,-5.99974
2025-03-17,Control,2,-14.42451
2025-03-17,Control,2,-6.29443
2025-03-17,Control,2,-6.81856
2025-03-17,Control,2,-7.5245
2025-03-17,Control,2,-11.98364
2025-03-17,Control,2,-28.37477
2025-03-17,Control,2,-12.86919
2025-03-17,Control,2,-10.32734
2025-03-17,Control,2,-7.11855
2025-03-17,Control,2,-9.15388
2025-03-17,Control,2,-6.22121
2025-03-17,Control,2,-8.3729
2025-03-17,Control,2,-8.89816
2025-03-17,Control,2,-5.13541
2025-03-17,Control,2,-6.47665
2025-03-17,Control,2,-8.03004
2025-03-17,Control,2,-10.34742
2025-03-17,Control,2,-9.31763
2025-03-17,Control,2,-10.12548
2025-03-17,Control,2,-15.81103
2025-03-17,Control,2,-5.09297
2025-03-17,Control,2,-5.56595
2025-03-17,Control,2,-6.24772
2025-03-17,Control,2,-9.2083
2025-03-17,Control,2,-8.27602
2025-03-17,Control,2,-5.50573
2025-03-17,Control,2,-9.33374
2025-03-17,Control,2,-5.88879
2025-03-17,Control,2,-7.83483
2025-03-17,Control,2,-5.37206
2025-03-17,Control,2,-8.27965
2025-03-17,Control,2,-19.88955
2025-03-17,Control,2,-9.68679
2025-03-17,Control,2,-11.08077
2025-03-17,Control,2,-5.56259
2025-03-17,Control,2,-15.89706
2025-03-17,Control,2,-18.11669
2025-03-17,Control,2,-7.97057
2025-03-17,Control,2,-6.54932
2025-03-17,Control,2,-14.71939
2025-03-17,Control,2,-6.97149
2025-03-17,Control,2,-6.81581
2025-03-17,Control,2,-13.51126
2025-03-17,Control,2,-10.01752
2025-03-17,Control,2,-9.5559
2025-03-17,Control,2,-9.47259
2025-03-17,Control,2,-8.72125
2025-03-17,Control,2,-7.58297
2025-03-17,Control,2,-12.00128
2025-03-17,Control,2,-5.69804
2025-03-17,Control,2,-12.4013
2025-03-17,Control,2,-15.41431
2025-03-17,Control,2,-9.21445
2025-03-17,Control,2,-5.89395
2025-03-17,Control,2,-5.45867
2025-03-17,Control,2,-6.84848
2025-03-17,Control,2,-6.62747
2025-03-17,Control,2,-12.16197
2025-03-17,Control,2,-9.13353
2025-03-17,Control,2,-5.7227
2025-03-17,Control,2,-7.88657
