Date,Condition,Cell,mean_mito_len,mean_mito
2025-06-18,Control,1,6.06777296360124,0.8976657824933687
2025-06-18,Control,5,9.226574500736552,1.1850316455696204
2025-06-18,Control,6,10.052387129889407,0.9922117647058823
2025-06-18,Control,7,4.534700835471748,1.0637288135593221
2025-06-18,Control,8,5.131443311818122,1.0450192307692308
2025-06-18,Control,9,4.812402039202459,0.9467721518987342
2025-06-18,Control,2,6.057480670991887,1.0480476190476191
2025-06-18,Control,3,4.848608551644997,0.9367394094993582
2025-06-18,Control,4,9.516861212158373,1.237337164750958
2025-06-18,TTXinTTX,10,6.508584679585598,1.1000377358490567
2025-06-18,TTXinTTX,11,6.386736844174166,1.1045405405405406
2025-06-18,TTXinTTX,12,9.604454993928494,1.2247692307692308
2025-06-18,TTXinTTX,13,6.591154495494837,1.204375
2025-06-18,TTXinTTX,14,6.378230391978871,1.0312966252220248
2025-06-18,TTXinTTX,15,6.304384856661751,1.0425366876310274
2025-06-18,TTXinTTX,16,4.499758541682686,1.001875
2025-06-18,TTXinTTX,17,9.17151968065737,0.9878712871287129
2025-06-18,TTXinTTX,18,11.831968561762583,1.1207389162561576
2025-06-18,TTXinTTX,19,7.997016699512577,1.0683333333333334
2025-06-18,TTXinTTX,20,5.430257451142508,0.999963436928702
2025-06-18,TTXinTTX,21,6.258949322202108,0.888092105263158
2025-06-18,TTXinTTX,22,8.835197457843648,0.915673076923077
2025-06-18,TTXinTTX,23,4.77882508991651,0.9764260563380281
2025-06-18,TTXinTTX,24,6.808660126550839,0.9651973684210526
2025-06-18,TTXinTTX,25,9.460691552395627,1.236924778761062
2025-06-18,TTXinTTX,26,10.884696095415242,1.2722346368715085
2025-07-30,Control,27,4.01178256471433,0.8947814207650273
2025-07-30,Control,28,4.737961057438252,0.8754578754578755
2025-07-30,Control,29,5.975120066906583,0.9676
2025-07-30,Control,30,4.656423777480506,0.8205947136563877
2025-07-30,Control,31,3.4034995275040556,0.6808250825082508
2025-07-30,Control,32,6.067290760922813,1.0594795539033457
2025-07-30,Control,33,5.32343104911724,0.8115181518151815
2025-07-30,Control,34,4.492289485582584,0.9021245421245422
2025-07-30,TTXinTTX,35,5.441786675977514,0.970375
2025-07-30,TTXinTTX,36,4.199925031514174,0.9528712871287129
