Date,Condition,Dish,Cell,Mito_ID,F0,Fmax,Mito_pH
2025-06-25,Control,1,1,1,1268.8112,1503.778,7.208358326763469
2025-06-25,Control,1,1,2,1553.1489,2250.122,7.0300203074524505
2025-06-25,Control,1,1,3,923.1723,1168.468,7.1457251494759015
2025-06-25,Control,1,1,4,1888.4758,2519,7.098957404995393
2025-06-25,Control,1,1,5,748.4575,981.775,7.113607197649294
2025-06-25,Control,1,1,6,1289.8,1959.481,6.992578619335107
2025-06-25,Control,2,1,1,3275.6408,4353.735,7.102061273642093
2025-06-25,Control,2,1,2,3916.327,4554.324,7.227411914799685
2025-06-25,Control,2,1,3,2500.7742,3736.692,7.005495649320716
2025-06-25,Control,2,1,4,2074.775,3505.75,6.913451039210356
2025-06-25,Control,2,1,5,2173.4256,2470.657,7.250896895632648
2025-06-25,Control,2,1,6,1809.5805,2128.355,7.215978005753391
2025-06-25,Control,2,1,7,1961.0195,3327.413,6.910459119077923
2025-06-25,Control,2,1,8,2901.0043,4275.261,7.016380581358794
2025-06-25,Control,2,1,9,2383.7147,3374.882,7.048695914188905
2025-06-25,Control,2,1,10,915.5033,1664.4,6.862159045827528
2025-06-25,Control,3,1,1,2470.1244,3791.902,6.984562225095007
2025-06-25,Control,3,1,2,2149.6167,3742.944,6.8921263005919755
2025-06-25,Control,3,1,3,1236.5713,2093.867,6.9119333545473225
2025-06-25,Control,3,1,4,2075.1819,3919.364,6.836300238005801
2025-06-25,Control,3,1,5,1648.797,2283.97,7.066779001695532
2025-06-25,Control,3,1,6,1029.6974,1438.083,7.059963961827488
2025-06-25,Control,3,1,7,2053.5,2804.533,7.078719238992997
2025-06-25,Control,3,1,8,1324.2382,1455,7.287473101853646
2025-06-25,Control,3,1,9,818.8165,1081.233,7.107759512388018
2025-06-25,Control,3,1,10,1039.0102,1696.931,6.938103012786438
2025-06-25,Control,3,1,11,776.4334,1327.061,6.9052657782878075
2025-06-25,TTX,1,1,1,3856.7928,4976.855,7.128190287641557
2025-06-25,TTX,1,1,2,2854.2155000000002,4316.356,6.996125676074782
2025-06-25,TTX,1,1,3,6120.492,8117.514,7.103925714445673
2025-06-25,TTX,1,1,4,3711.4371,5080.761,7.076728650887704
2025-06-25,TTX,1,1,5,3752.1702,5287.595,7.052535192944434
2025-06-25,TTX,1,1,6,5740.3286,7319.548,7.138969127220456
2025-06-25,TTX,1,1,7,4774.3529,7018.206,7.018394905036119
2025-06-25,TTX,1,1,8,3423.6678,4518.471,7.1082294891908635
2025-06-25,TTX,1,1,9,2368.4880000000003,3206.32,7.086228091460855
2025-06-25,TTX,1,1,10,2497.2054,3682.135,7.015958800292203
2025-06-25,TTX,2,1,1,2428.5898,3304.615,7.081846549240889
2025-06-25,TTX,2,1,2,1475.3299,2283.703,6.97820115770145
2025-06-25,TTX,2,1,3,1929.1425,3139.95,6.940615471709336
2025-06-25,TTX,2,1,4,1950.5621,2375.838,7.181714239407461
